epoch,mrr
20,0.0007122751558199525
40,0.00086890411330387
60,0.0010367854265496135
80,0.0014825310790911317
100,0.0018816926749423146
120,0.002084950217977166
140,0.0016769134672358632
160,0.001996634528040886
180,0.0022610980086028576
200,0.0022631960455328226
220,0.001602795673534274
240,0.0009573287679813802
260,0.0006723749684169888
280,0.000609576643910259
300,0.0005998277338221669
320,0.0005976248066872358
340,0.0006195817259140313
360,0.0006612499710172415
380,0.0006879823631606996
400,0.0007032425492070615
420,0.0007238481775857508
440,0.0007401383481919765
460,0.0007284266175702214
480,0.0007104886462911963
500,0.0007135273772291839
520,0.0007462353678420186
540,0.0007627321756444871
560,0.0007503500673919916
580,0.0007713360246270895
600,0.0008460548124276102
620,0.0008823549142107368
640,0.001013535656966269
660,0.0010810655076056719
680,0.0011469906894490123
700,0.0012523967307060957
720,0.0013085455866530538
740,0.0015187645331025124
760,0.0017075679497793317
780,0.0016793188406154513
800,0.0018944371258839965
820,0.0020022511016577482
840,0.001954881241545081
860,0.0019973423331975937
880,0.002230648882687092
900,0.0023298580199480057
920,0.002400601515546441
940,0.0027964231558144093
960,0.002987536834552884
980,0.0032493192702531815
1000,0.0031019297894090414
1020,0.0034896887373179197
1040,0.0032084269914776087
1060,0.003678948385640979
1080,0.005113790277391672
1100,0.011254784651100636
1120,0.016338374465703964
1140,0.010304025374352932
1160,0.008912256918847561
1180,0.015873532742261887
1200,0.015247581526637077
1220,0.009815584868192673
1240,0.00851377472281456
1260,0.007915926165878773
1280,0.007877591997385025
1300,0.01201784797012806
1320,0.009408378973603249
1340,0.008689270354807377
1360,0.013488104566931725
1380,0.010673226788640022
1400,0.008766675367951393
1420,0.01362287811934948
1440,0.011418354697525501
1460,0.014601665548980236
1480,0.008751414716243744
1500,0.009799188934266567
1520,0.010122733190655708
1540,0.006336449645459652
1560,0.00836028903722763
1580,0.008344586938619614
1600,0.007625817321240902
1620,0.005874269176274538
1640,0.006645181216299534
1660,0.005876348819583654
1680,0.00804955791682005
1700,0.006238773465156555
1720,0.007623892277479172
1740,0.007420826703310013
1760,0.008575514890253544
1780,0.007132019381970167
1800,0.008154967799782753
